id,vote_count,vote_total,vote_average
564096,1,7.0,7.0
263765,1,10.0,10.0
283543,2,4.6,2.3
41371,34,122.4,3.6
368247,4,36.0,9.0
476424,6,19.200000000000003,3.2000000000000006
267752,1,7.0,7.0
416304,7,22.400000000000002,3.2
442801,2,8.0,4.0
301325,102,336.59999999999997,3.3
370559,9,70.2,7.800000000000001
359732,2,12.0,6.0
290753,10,41.0,4.1
313685,3,16.5,5.5
455656,703,4499.2,6.3999999999999995
490488,3,12.0,4.0
433479,3,11.100000000000001,3.7000000000000006
419627,5,19.0,3.8
500734,12,51.599999999999994,4.3
295050,13,68.89999999999999,5.299999999999999
508539,2,6.0,3.0
452165,1,10.0,10.0
306782,1,0.0,0.0
248268,14,95.2,6.8
327946,1,10.0,10.0
190766,24,134.39999999999998,5.599999999999999
252178,627,4263.599999999999,6.799999999999999
860728,4,30.0,7.5
149533,2,20.0,10.0
467192,16,88.0,5.5
362886,24,141.60000000000002,5.900000000000001
76098,4,22.0,5.5
147923,13,68.89999999999999,5.299999999999999
49059,1,6.0,6.0
329750,32,227.2,7.1
467933,1,6.0,6.0
318972,18,122.39999999999999,6.8
473441,1,6.0,6.0
211240,2,11.0,5.5
206967,2,14.0,7.0
279186,13,94.89999999999999,7.299999999999999
466750,1,10.0,10.0
77083,3,14.399999999999999,4.8
217316,53,392.20000000000005,7.400000000000001
477201,12,57.599999999999994,4.8
253484,32,185.6,5.8
373858,1,0.0,0.0
291705,1,5.0,5.0
342472,103,679.8,6.6
833382,214,1369.6000000000001,6.4
110504,3,18.0,6.0
413576,2,14.0,7.0
400482,1,7.0,7.0
346592,8,42.4,5.3
333371,4629,31940.100000000002,6.9
345003,7,37.800000000000004,5.4
104194,1,5.0,5.0
216138,34,125.80000000000001,3.7
273463,2,10.0,5.0
433308,3,6.8999999999999995,2.3
58547,299,1734.2,5.8
279570,1,6.0,6.0
293082,9,25.2,2.8
506502,98,637.0,6.5
253406,95,560.5,5.9
302666,41,168.1,4.1
126757,55,330.0,6.0
534110,5,32.0,6.4
182228,46,161.0,3.5
122326,21,92.4,4.4
459249,2,12.0,6.0
669064,182,1128.4,6.2
855303,3,22.0,7.333333333333333
314606,19,140.6,7.3999999999999995
579766,1,10.0,10.0
318654,6,42.0,7.0
268245,18,102.60000000000001,5.7
299791,2,16.6,8.3
147484,1,2.0,2.0
97093,3,21.9,7.3
319356,4,26.0,6.5
505177,218,1133.6000000000001,5.200000000000001
361617,4,13.2,3.3
51248,116,498.79999999999995,4.3
79078,21,63.0,3.0
479426,6,37.8,6.3
455184,1,5.0,5.0
789540,16,80.0,5.0
81241,2,9.0,4.5
81393,108,648.0,6.0
488447,6,35.400000000000006,5.900000000000001
307115,8,43.2,5.4
135675,10,49.0,4.9
459928,184,975.1999999999999,5.3
363483,52,312.0,6.0
330886,2,13.0,6.5
169853,17,102.0,6.0
47845,9,64.8,7.199999999999999
457860,3,18.9,6.3
487451,1,6.0,6.0
195269,146,803.0,5.5
351901,68,340.0,5.0
429351,1312,7347.2,5.6
145186,24,134.39999999999998,5.599999999999999
76203,6631,52384.9,7.9
357920,1,5.0,5.0
236059,3,15.600000000000001,5.2
149922,5,38.5,7.7
147879,18,37.800000000000004,2.1
422570,1,5.0,5.0
44115,4469,31283.0,7.0
44806,9,66.60000000000001,7.400000000000001
44982,392,2234.4,5.7
58857,514,3752.2,7.3
464605,9,28.8,3.2
122369,50,229.99999999999997,4.6
300671,1573,11011.0,7.0
319337,136,938.4000000000001,6.9
335524,1,10.0,10.0
155084,576,3628.7999999999997,6.3
356527,2,12.0,6.0
226269,20,74.0,3.7
84585,1,4.0,4.0
103710,3,6.0,2.0
91319,1,5.0,5.0
109440,2,8.0,4.0
207356,2,4.0,2.0
84565,4,7.2,1.8
127739,4,15.6,3.9
192483,4,6.4,1.6
207345,1,4.0,4.0
114587,3,3.9000000000000004,1.3
120772,4,5.2,1.3
235537,1,5.0,5.0
95757,3,3.5999999999999996,1.2
82707,2,7.0,3.5
183597,3,17.1,5.7
48015,28,126.0,4.5
407806,271,2195.1,8.1
261179,1,6.0,6.0
437443,8,55.2,6.9
34179,87,574.1999999999999,6.6
534235,27,148.5,5.5
390603,2,12.0,6.0
325388,35,252.0,7.2
419996,1,5.0,5.0
66793,4,10.4,2.6
533488,3,18.9,6.3
505833,1,7.0,7.0
130745,4,30.0,7.5
362244,10,50.0,5.0
40205,688,4059.2000000000003,5.9
82626,12,56.400000000000006,4.7
87368,199,1094.5,5.5
75654,12,63.599999999999994,5.3
242256,2,10.6,5.3
91052,33,174.9,5.3
163429,3,20.4,6.8
467806,1,10.0,10.0
481197,6,55.199999999999996,9.2
39333,31,220.1,7.1
157765,1,4.0,4.0
150088,5,15.5,3.1
133738,7,32.9,4.7
403357,73,474.5,6.5
76349,62,341.0,5.5
332286,2,11.0,5.5
452507,1245,7345.5,5.9
11519,262,1493.4,5.7
440342,20,142.0,7.1
377924,1,10.0,10.0
261855,5,39.0,7.8
239076,2,3.6,1.8
215918,2,15.0,7.5
332937,2,20.0,10.0
890917,11,70.0,6.363636363636363
428136,1,9.0,9.0
280218,14,96.60000000000001,6.9
468559,1,8.0,8.0
249772,23,135.70000000000002,5.9
425555,3,15.0,5.0
84165,149,834.4,5.6
489023,1,5.0,5.0
490155,1,5.0,5.0
495021,1,6.0,6.0
489060,1,5.0,5.0
489249,1,5.0,5.0
543581,1,5.0,5.0
136400,2368,15392.0,6.5
203890,5,16.0,3.2
191698,7,37.1,5.3
410270,7,24.5,3.5
391975,27,132.3,4.9
259720,73,489.1,6.7
316389,2,9.0,4.5
435664,1,2.0,2.0
86703,82,287.0,3.5
373449,37,233.1,6.3
159014,127,939.8000000000001,7.4
259879,11,26.4,2.4
391000,1,5.0,5.0
450015,10,88.0,8.8
246400,101,727.2,7.2
460711,9,44.1,4.9
63297,17,59.5,3.5
40912,31,124.0,4.0
62,5837,46696.0,8.0
150610,1,5.0,5.0
74995,2,8.6,4.3
50053,34,108.80000000000001,3.2
219874,1,9.5,9.5
84402,2,10.6,5.3
501497,2,8.0,4.0
59722,118,472.0,4.0
48752,2,14.0,7.0
213308,1,8.0,8.0
315676,1,9.0,9.0
522550,1,8.0,8.0
415096,1,10.0,10.0
126509,28,123.20000000000002,4.4
461096,1,9.0,9.0
440646,3,23.4,7.8
448916,80,392.0,4.9
473072,147,1043.7,7.1000000000000005
475759,127,876.3000000000001,6.9
496238,2,20.0,10.0
453626,1,4.0,4.0
685474,1008,7459.200000000001,7.4
107811,1020,5814.0,5.7
147485,1,5.0,5.0
341957,9,41.4,4.6
393627,7,46.9,6.7
64688,6527,44383.6,6.8
290304,14,92.39999999999999,6.6
499273,5,7.5,1.5
500919,134,696.8000000000001,5.2
173423,2,8.6,4.3
184502,2,10.0,5.0
37645,508,3302.0,6.5
531647,6,40.8,6.8
474354,450,3240.0,7.2
187017,5167,35652.3,6.9
271234,37,192.4,5.2
51075,1,7.0,7.0
295588,31,201.5,6.5
179242,8,47.2,5.9
415671,16,41.6,2.6
205225,15,60.0,4.0
467792,1,6.0,6.0
179050,2,4.6,2.3
775890,2,13.0,6.5
71903,2,9.0,4.5
582422,1,9.0,9.0
470114,289,1618.3999999999999,5.6
378695,17,117.30000000000001,6.9
137145,88,457.6,5.2
481695,1,10.0,10.0
93872,10,64.0,6.4
309071,2,12.0,6.0
462251,1,4.0,4.0
173886,1,10.0,10.0
521669,20,124.0,6.2
84166,32,192.0,6.0
577140,1,9.0,9.0
526934,1,1.0,1.0
134628,1,4.0,4.0
269795,809,4692.2,5.8
297167,24,144.0,6.0
452957,1,0.0,0.0
408102,1,7.0,7.0
41130,5,33.0,6.6
256995,1,5.0,5.0
116735,4,26.0,6.5
339002,6,28.799999999999997,4.8
477577,2,12.0,6.0
68412,6,25.799999999999997,4.3
151523,1,4.0,4.0
341007,3,24.900000000000002,8.3
245997,1,8.0,8.0
160647,8,31.2,3.9
198057,5,23.5,4.7
192102,1279,7801.9,6.1
470116,1,0.0,0.0
190967,13,61.1,4.7
300667,284,1817.6000000000001,6.4
362879,1,8.0,8.0
137475,15,81.0,5.4
451697,2,10.0,5.0
346034,25,170.0,6.8
89887,1,2.0,2.0
348161,1,6.0,6.0
77485,9,33.300000000000004,3.7000000000000006
275696,21,102.9,4.9
298776,3,12.899999999999999,4.3
287318,1,5.0,5.0
417668,2,6.0,3.0
127803,16,86.4,5.4
270561,2,10.0,5.0
320349,42,315.0,7.5
94104,36,198.0,5.5
67308,29,142.10000000000002,4.9
342927,66,237.6,3.6
109416,8,28.8,3.6
380815,9,42.300000000000004,4.7
188500,1,6.0,6.0
42941,218,1024.6000000000001,4.700000000000001
434205,2,7.0,3.5
62206,825,4620.0,5.6
157058,42,126.0,3.0
199387,3,23.1,7.7
113961,4,24.4,6.1
270533,1,6.0,6.0
54799,2,4.0,2.0
53182,3870,23220.0,6.0
489995,2,13.0,6.5
166666,239,1649.1000000000001,6.9
284564,370,1924.0,5.2
156894,4,24.0,6.0
444531,1,10.0,10.0
118984,10,65.0,6.5
210729,2,12.0,6.0
62522,16,83.2,5.2
882906,2,20.0,10.0
216412,3,9.0,3.0
89455,144,835.1999999999999,5.8
643877,2,1.5,0.75
407634,3,18.0,6.0
63494,1,3.0,3.0
178476,5,17.5,3.5
339076,1,10.0,10.0
408422,9,60.300000000000004,6.7
82666,8,47.2,5.9
228724,1,3.5,3.5
274820,37,210.9,5.7
258034,92,699.1999999999999,7.6
316626,2,8.0,4.0
137339,4,10.0,2.5
512936,6,31.200000000000003,5.2
145738,37,111.0,3.0
132866,1,6.0,6.0
421057,1,8.0,8.0
