title,studio,domestic_gross,foreign_gross,year,total_gross
toy story 3,BV,415000000,652000000,2010,1067000000
alice in wonderland (2010),BV,334200000,691300000,2010,1025500000
harry potter and the deathly hallows part 1,WB,296000000,664300000,2010,960300000
inception,WB,292600000,535700000,2010,828300000
shrek forever after,P/DW,238700000,513900000,2010,752600000
the twilight saga: eclipse,Sum.,300500000,398000000,2010,698500000
iron man 2,Par.,312400000,311500000,2010,623900000
tangled,BV,200800000,391000000,2010,591800000
despicable me,Uni.,251500000,291600000,2010,543100000
how to train your dragon,P/DW,217600000,277300000,2010,494900000
clash of the titans (2010),WB,163200000,330000000,2010,493200000
the chronicles of narnia: the voyage of the dawn treader,Fox,104400000,311300000,2010,415700000
the king's speech,Wein.,135500000,275400000,2010,410900000
tron legacy,BV,172100000,228000000,2010,400100000
the karate kid,Sony,176600000,182500000,2010,359100000
prince of persia: the sands of time,BV,90800000,245600000,2010,336400000
black swan,FoxS,107000000,222400000,2010,329400000
megamind,P/DW,148400000,173500000,2010,321900000
robin hood,Uni.,105300000,216400000,2010,321700000
the last airbender,Par.,131800000,187900000,2010,319700000
little fockers,Uni.,148400000,162200000,2010,310600000
resident evil: afterlife,SGem,60100000,240100000,2010,300200000
shutter island,Par.,128000000,166800000,2010,294800000
salt,Sony,118300000,175200000,2010,293500000
sex and the city 2,WB (NL),95300000,193000000,2010,288300000
the tourist,Sony,67600000,210700000,2010,278300000
the expendables,LGF,103100000,171400000,2010,274500000
grown ups,Sony,162000000,109400000,2010,271400000
knight & day,Fox,76400000,185500000,2010,261900000
true grit,Par.,171200000,81000000,2010,252200000
gulliver's travels,Fox,42800000,194600000,2010,237400000
percy jackson & the olympians: the lightning thief,Fox,88800000,137700000,2010,226500000
the social network,Sony,97000000,128000000,2010,225000000
valentine's day,WB (NL),110500000,106000000,2010,216500000
the sorcerer's apprentice,BV,63200000,152100000,2010,215300000
due date,WB,100500000,111200000,2010,211700000
eat pray love,Sony,80600000,124000000,2010,204600000
yogi bear,WB,100200000,101300000,2010,201500000
red,Sum.,90400000,108600000,2010,199000000
paranormal activity 2,Par.,84800000,92800000,2010,177600000
the a-team,Fox,77200000,100000000,2010,177200000
jackass 3-d,Par.,117200000,54500000,2010,171700000
the other guys,Sony,119200000,51200000,2010,170400000
unstoppable,Fox,81600000,86200000,2010,167800000
step up 3-d,BV,42400000,116900000,2010,159300000
the book of eli,WB,94800000,62300000,2010,157100000
the town,WB,92200000,61800000,2010,154000000
date night,Fox,98700000,53600000,2010,152300000
legend of the guardians: the owls of ga'hoole,WB,55700000,84400000,2010,140100000
the wolfman,Uni.,62000000,77800000,2010,139800000
the bounty hunter,Sony,67099999,69300000,2010,136399999
saw 3d,LGF,45700000,90400000,2010,136100000
wall street: money never sleeps,Fox,52500000,82300000,2010,134800000
the fighter,Par.,93600000,35600000,2010,129200000
predators,Fox,52000000,75200000,2010,127200000
a nightmare on elm street (2010),WB (NL),63100000,52600000,2010,115700000
dear john,SGem,80000000,35000000,2010,115000000
cats & dogs: the revenge of kitty galore,WB,43600000,68900000,2010,112500000
tooth fairy,Fox,60000000,52400000,2010,112400000
life as we know it,WB,53400000,52300000,2010,105700000
hereafter,WB,32700000,72500000,2010,105200000
the girl with the dragon tattoo,MBox,10100000,94300000,2010,104400000
love and other drugs,Fox,32400000,70500000,2010,102900000
aftershock (tangshan dadizhen),CL,63000,100200000,2010,100263000
killers,LGF,47100000,51100000,2010,98200000
kick-ass,LGF,48100000,48100000,2010,96200000
green zone,Uni.,35100000,59800000,2010,94900000
nanny mcphee returns,Uni.,29000000,64200000,2010,93200000
get him to the greek,Uni.,61000000,30300000,2010,91300000
burlesque,SGem,39400000,50100000,2010,89500000
the last song,BV,63000000,26100000,2010,89100000
dinner for schmucks,P/DW,73000000,13800000,2010,86800000
marmaduke,Fox,33600000,50100000,2010,83700000
piranha 3d,W/Dim.,25000000,58200000,2010,83200000
oceans,BV,19400000,63200000,2010,82600000
edge of darkness,WB,43300000,37800000,2010,81100000
vampires suck,Fox,36700000,43900000,2010,80600000
letters to juliet,Sum.,53000000,26100000,2010,79100000
the back-up plan,CBS,37500000,40000000,2010,77500000
if you are the one 2 (fei cheng wu rao ii),CL,427000,75600000,2010,76027000
diary of a wimpy kid,Fox,64000000,11700000,2010,75700000
easy a,SGem,58400000,16600000,2010,75000000
hubble 3d,WB,52400000,21500000,2010,73900000
takers,SGem,57700000,11300000,2010,69000000
tales from earthsea,BV,48500,68600000,2010,68648500
legion (2010),SGem,40200000,27800000,2010,68000000
the american,Focus,35600000,32299999,2010,67899999
the last exorcism,LGF,41000000,26700000,2010,67700000
the next three days,LGF,21100000,46300000,2010,67400000
the girl who played with fire,MBox,7600000,59500000,2010,67100000
skyline,Uni.,21400000,45400000,2010,66800000
hot tub time machine,MGM,50300000,14300000,2010,64600000
devil,Uni.,33600000,29100000,2010,62700000
127 hours,FoxS,18300000,42400000,2010,60700000
tyler perry's why did i get married too?,LGF,60100000,578000,2010,60678000
secretariat,BV,59700000,537000,2010,60237000
the ghost writer,Sum.,15500000,44700000,2010,60200000
morning glory,Par.,31000000,29000000,2010,60000000
remember me,Sum.,19100000,37000000,2010,56100000
cop out,WB,44900000,10700000,2010,55600000
the crazies,Over.,39100000,15700000,2010,54800000
from paris with love,LGF,24100000,28700000,2010,52800000
daybreakers,LGF,30100000,21300000,2010,51400000
alpha and omega,LGF,25100000,25400000,2010,50500000
the switch,Mira.,27800000,22100000,2010,49900000
she's out of my league,Par.,32000000,17800000,2010,49800000
death at a funeral (2010),SGem,42700000,6300000,2010,49000000
how do you know,Sony,30200000,18500000,2010,48700000
charlie st. cloud,Uni.,31200000,17000000,2010,48200000
scott pilgrim vs. the world,Uni.,31500000,16100000,2010,47600000
heartbreaker,IFC,504000,46900000,2010,47404000
the spy next door,LGF,24300000,20900000,2010,45200000
"the good, the bad, the weird",IFC,128000,44100000,2010,44228000
machete,Fox,26600000,17500000,2010,44100000
the girl who kicked the hornet's nest,MBox,5200000,38300000,2010,43500000
the man from nowhere,CJ,528000,42500000,2010,43028000
when in rome,BV,32700000,10400000,2010,43100000
my name is khan,FoxS,4000000,38300000,2010,42300000
going the distance,WB (NL),17800000,24200000,2010,42000000
the concert,Wein.,658000,40500000,2010,41158000
agora,NM,619000,38400000,2010,39019000
for colored girls,LGF,37700000,17300,2010,37717300
brooklyn's finest,Over.,27200000,9300000,2010,36500000
furry vengeance,Sum.,17600000,18600000,2010,36200000
faster,CBS,23200000,12400000,2010,35600000
the kids are all right,Focus,20800000,13900000,2010,34700000
you will meet a tall dark stranger,SPC,3200000,31000000,2010,34200000
the secret in their eyes,SPC,6400000,27600000,2010,34000000
avatar: special edition,Fox,10700000,22500000,2010,33200000
leap year,Uni.,25900000,6700000,2010,32600000
you again,BV,25700000,6300000,2010,32000000
mesrine: killer instinct,MBox,552000,30500000,2010,31052000
the losers,WB,23600000,5800000,2010,29400000
case 39,ParV,13300000,14900000,2010,28200000
ramona and beezus,Fox,26200000,1100000,2010,27300000
splice,WB,17000000,9800000,2010,26800000
fair game (2010),Sum.,9500000,14600000,2010,24100000
let me in,Over.,12100000,12000000,2010,24100000
mao's last dancer,Gold.,4800000,17500000,2010,22300000
just wright,FoxS,21500000,29900,2010,21529900
our family wedding,FoxS,20300000,1200000,2010,21500000
my soul to take,Uni.,14700000,6200000,2010,20900000
71 into the fire,JS,177000,20800000,2010,20977000
"i love you, phillip morris",RAtt.,2000000,18700000,2010,20700000
country strong,SGem,20200000,310000,2010,20510000
another year,SPC,3200000,16500000,2010,19700000
youth in revolt,W/Dim.,15300000,4400000,2010,19700000
buried,LGF,1000000,18100000,2010,19100000
[rec] 2,Magn.,27800,18500000,2010,18527800
repo men,Uni.,13800000,4600000,2010,18400000
a prophet (un prophète),SPC,2100000,15800000,2010,17900000
soul kitchen,IFC,277000,17600000,2010,17877000
mother (2010),Magn.,552000,16600000,2010,17152000
micmacs,SPC,1300000,15100000,2010,16400000
the nutcracker in 3d,Free,195000,16000000,2010,16195000
sea rex 3d: journey to a prehistoric world,3D,6100000,9900000,2010,16000000
i hate luv storys,UTV,848000,14900000,2010,15748000
extraordinary measures,CBS,12100000,3100000,2010,15200000
somewhere,Focus,1800000,12200000,2010,14000000
winter's bone,RAtt.,6500000,7300000,2010,13800000
the last station,SPC,6600000,6900000,2010,13500000
raajneeti,UTV,1500000,11100000,2010,12600000
made in dagenham,SPC,1100000,11300000,2010,12400000
blue valentine,Wein.,9700000,2600000,2010,12300000
tamara drewe,SPC,560000,11400000,2010,11960000
chloe,SPC,3100000,8600000,2010,11700000
looking for eric,IFC,55800,11500000,2010,11555800
the warrior's way,Rela.,5700000,5400000,2010,11100000
i am love,Magn.,5000000,5900000,2010,10900000
jonah hex,WB,10500000,356000,2010,10856000
harry brown,Gold.,1800000,8500000,2010,10300000
cyrus,FoxS,7500000,2500000,2010,10000000
conviction,FoxS,6800000,2900000,2010,9700000
get low,SPC,9200000,518000,2010,9718000
babies,Focus,7300000,2200000,2010,9500000
stone,Over.,1800000,7700000,2010,9500000
peepli live,UTV,758000,8700000,2010,9458000
never let me go,FoxS,2400000,7000000,2010,9400000
mid-august lunch,Zeit.,675000,8700000,2010,9375000
macgruber,Uni.,8500000,797000,2010,9297000
city island,Anch.,6700000,1200000,2010,7900000
inside job,SPC,4300000,3600000,2010,7900000
the joneses,RAtt.,1500000,5500000,2010,7000000
centurion,Magn.,124000,6700000,2010,6824000
animal kingdom,SPC,1000000,5700000,2010,6700000
nowhere boy,Wein.,1500000,5100000,2010,6600000
it's kind of a funny story,Focus,6400000,128000,2010,6528000
"waiting for ""superman""",ParV,6400000,9300,2010,6409300
greenberg,Focus,4200000,1900000,2010,6100000
coco chanel & igor stravinsky,SPC,1600000,4099999,2010,5699999
vincere,IFC,619000,5100000,2010,5719000
the illusionist (2010),SPC,2200000,3400000,2010,5600000
exit through the gift shop,PDA,3300000,2000000,2010,5300000
mademoiselle chambon,Lorb.,532000,4700000,2010,5232000
solitary man,Anch.,4400000,818000,2010,5218000
rabbit hole,LGF,2200000,2900000,2010,5100000
vision,Zeit.,435000,4600000,2010,5035000
mother and child,SPC,1100000,3900000,2010,5000000
the runaways,App.,3600000,1100000,2010,4700000
four lions,Drft.,305000,4400000,2010,4705000
wild grass,SPC,404000,4200000,2010,4604000
please give,SPC,4000000,280000,2010,4280000
monsters,Magn.,237000,4000000,2010,4237000
rare exports: a christmas tale,Osci.,236000,3800000,2010,4036000
the killer inside me,IFC,217000,3800000,2010,4017000
the perfect game,IW,1000000,2800000,2010,3800000
to save a life,Gold.,3800000,45800,2010,3845800
inspector bellamy,IFC,108000,3600000,2010,3708000
catfish,Rog.,3200000,242000,2010,3442000
wild target,Free,109000,3300000,2010,3409000
frozen (2010),Anch.,246000,2900000,2010,3146000
dabangg,Eros,1300000,1700000,2010,3000000
kites,Relbig.,1600000,1300000,2010,2900000
letters to god,Viv.,2800000,60300,2010,2860300
twelve,Hann.,184000,2400000,2010,2584000
tees maar khan,UTV,1100000,1400000,2010,2500000
fish tank,IFC,375000,2000000,2010,2375000
housefull,Eros,1200000,1200000,2010,2400000
golmaal 3,Eros,1100000,935000,2010,2035000
after.life,Anch.,109000,1900000,2010,2009000
cairo time,IFC,1600000,391000,2010,1991000
flipped,WB,1800000,0,2010,1800000
guzaarish,UTV,1000000,695000,2010,1695000
ondine,Magn.,550000,1100000,2010,1650000
anjaana anjaani,Eros,855000,761000,2010,1616000
john rabe,Strand,67500,1400000,2010,1467500
restrepo,NGE,1300000,105000,2010,1405000
raavan,Relbig.,709000,648000,2010,1357000
the city of your final destination,Scre.,493000,859000,2010,1352000
it's a wonderful afterlife,UTV,0,1300000,2010,1300000
ajami,Kino,622000,669000,2010,1291000
army of crime,Lorb.,37000,1200000,2010,1237000
lebanon,SPC,368000,830000,2010,1198000
howl,Osci.,617000,566000,2010,1183000
videocracy,Kino,23700,1200000,2010,1223700
when you're strange,Abr.,246000,901000,2010,1147000
the salvation poem (poema de salvacion),CZ,915000,183000,2010,1098000
casino jack,ATO,1000000,40700,2010,1040700
leaving,IFC,176000,893000,2010,1069000
khatta meetha,Eros,542000,499000,2010,1041000
we are family,UTV,638000,393000,2010,1031000
leaves of grass,First,70100,949000,2010,1019100
north face,MBox,711000,216000,2010,927000
creation,NM,341000,555000,2010,896000
no one knows about persian cats,IFC,81800,798000,2010,879800
carlos,IFC,146000,726000,2010,872000
hideaway (le refuge),Strand,34500,837000,2010,871500
the disappearance of alice creed,Anch.,167000,701000,2010,868000
break ke baad,Relbig.,428000,389000,2010,817000
veer (2010),Eros,527000,277000,2010,804000
life during wartime,IFC,281000,487000,2010,768000
enter the void,IFC,336000,418000,2010,754000
the secret of kells,GK,677000,62700,2010,739700
the polar express (imax re-issue 2010),WB,673000,0,2010,673000
no problem,Eros,285000,369000,2010,654000
all good things,Magn.,582000,62500,2010,644500
jack goes boating,Over.,542000,77600,2010,619600
holy rollers,FInd.,303000,305000,2010,608000
chain letter,NFC,139000,447000,2010,586000
i spit on your grave,Anch.,93100,480000,2010,573100
i'm still here,Magn.,409000,160000,2010,569000
salt of this sea,Lorb.,11700,545000,2010,556700
undertow (2010),TFC,109000,393000,2010,502000
father of my children,IFC,144000,335000,2010,479000
the greatest (2010),Pala.,115000,359000,2010,474000
the extra man,Magn.,453000,4500,2010,457500
tiny furniture,IFC,392000,0,2010,392000
dogtooth,Kino,110000,274000,2010,384000
grease (sing-a-long re-issue),Par.,366000,0,2010,366000
the tempest,Mira.,278000,68700,2010,346700
the good heart,Magn.,20900,323000,2010,343900
formosa betrayed,Scre.,225000,101000,2010,326000
red hill,Strand,21100,300000,2010,321100
welcome to the rileys,Gold.,159000,158000,2010,317000
"a woman, a gun and a noodle shop",SPC,191000,121000,2010,312000
the girl on the train,Strand,208000,97100,2010,305100
mesrine: public enemy no. 1,MBox,275000,28100,2010,303100
44 inch chest,Imag.,39000,255000,2010,294000
karthik calling karthik,Eros,286000,7100,2010,293100
last train home,Zeit.,288000,0,2010,288000
eyes wide open,NAV,26300,250000,2010,276300
waste land,Arth.,188000,88700,2010,276700
south of the border,CLS,199000,70800,2010,269800
human centipede,IFC,181000,70700,2010,251700
"lovely, still",Mont.,128000,106000,2010,234000
the girl (flickan),Olive,2200,229000,2010,231200
sweetgrass,CGld,207000,0,2010,207000
bitch slap,Free,17400,182000,2010,199400
chance pe dance,UTV,169000,24300,2010,193300
client 9: the rise and fall of eliot spitzer,Magn.,189000,3500,2010,192500
casino jack and the united states of money,Magn.,177000,0,2010,177000
perrier's bounty,IFC,800,167000,2010,167800
around a small mountain,CGld,33200,131000,2010,164200
spring fever,Strand,10800,150000,2010,160800
the eclipse,Magn.,133000,26400,2010,159400
george a. romero's survival of the dead,Magn.,102000,41500,2010,143500
the romantics,FOAK,107000,17300,2010,124300
celine: through the eyes of the world,Sony,0,119000,2010,119000
freakonomics,Magn.,101000,16400,2010,117400
saint john of las vegas,IVP,103000,9100,2010,112100
band baaja baaraat,Yash,43800,60700,2010,104500
white lion,Scre.,0,99600,2010,99600
kisses,Osci.,81700,15300,2010,97000
waking sleeping beauty,BV,80700,4200,2010,84900
enemies of the people,ICir,73200,6400,2010,79600
badmaash company,Yash,0,64400,2010,64400
hadewijch,IFC,5000,57500,2010,62500
alamar,FM,61600,0,2010,61600
as good as dead,First,2000,53600,2010,55600
inhale,IFC,4100,51000,2010,55100
hatchet 2,Vita.,52600,0,2010,52600
district b13: ultimatum,Magn.,36100,16200,2010,52300
gasland,WOW,30800,18600,2010,49400
boogie woogie,IFC,2600,44900,2010,47500
come undone (2010),FM,10000,31300,2010,41300
the red baron,Mont.,37200,3100,2010,40300
bluebeard,Strand,33500,5200,2010,38700
daddy longlegs,IFC,21800,11500,2010,33300
living in emergency,Truly,32200,0,2010,32200
nenette,Kino,18000,5400,2010,23400
picture me,Strand,12000,10400,2010,22400
the thorn in the heart,Osci.,7400,10500,2010,17900
the taqwacores,Strand,11400,0,2010,11400
cherry,Abr.,11400,0,2010,11400
terkel in trouble,Indic.,10800,0,2010,10800
